Project Name ,Permit ID ,Submitted Date ,Communication Start Date,Initial Assessment Date ,Review Start Date ,Final Resolution Date ,Expiration Date
Bainbridge ,BAIN0001,2021-06-25T21:39:47-04:00,2021-06-27T01:17:59-04:00,2021-06-29T07:00:13-04:00,2021-07-02T16:42:35-04:00,2021-07-06T19:44:11-04:00,2021-07-10T11:38:11-04:00
Loch Raven ,LRAV0001,2025-07-23T06:44:12-04:00,2025-07-27T10:45:41-04:00,2025-07-31T12:24:59-04:00,2025-08-02T16:39:39-04:00,2025-08-05T15:44:01-04:00,2025-08-07T07:56:59-04:00
Pimlico,PIML0001,2023-03-04T17:53:24-04:00,2023-03-05T20:23:30-04:00,2023-03-07T16:54:23-04:00,2023-03-08T22:56:16-04:00,2023-03-13T19:10:43-04:00,2023-03-17T23:07:28-04:00
Quantum ,QNTM0001,2025-05-28T02:39:01-04:00,2025-06-01T23:10:47-04:00,2025-06-04T14:24:43-04:00,2025-06-07T01:07:40-04:00,2025-06-07T00:53:05-04:00,2025-06-07T04:58:42-04:00
SBY Market ,SBYM0001,2020-05-28T09:11:49-04:00,2020-05-29T05:34:32-04:00,2020-06-02T13:11:54-04:00,2020-06-06T15:45:05-04:00,2020-06-07T13:17:28-04:00,2020-06-10T05:43:11-04:00
Bainbridge ,BAIN0002,2021-05-31T14:38:14-04:00,2021-05-31T14:06:09-04:00,2021-06-05T12:29:58-04:00,2021-06-09T03:43:10-04:00,2021-06-10T11:34:33-04:00,2021-06-11T20:08:22-04:00
Loch Raven ,LRAV0002,2024-07-14T04:03:33-04:00,2024-07-18T04:50:12-04:00,2024-07-18T16:55:20-04:00,2024-07-20T21:14:49-04:00,2024-07-22T10:47:31-04:00,2024-07-23T14:05:35-04:00
Pimlico,PIML0002,2022-08-07T12:04:06-04:00,2022-08-11T20:43:14-04:00,2022-08-15T20:34:06-04:00,2022-08-20T12:43:05-04:00,2022-08-23T08:32:09-04:00,2022-08-26T13:56:39-04:00
Quantum ,QNTM0002,2023-11-05T07:57:36-04:00,2023-11-08T05:53:26-04:00,2023-11-10T11:55:46-04:00,2023-11-14T20:13:56-04:00,2023-11-16T09:11:19-04:00,2023-11-18T14:36:40-04:00
SBY Market ,SBYM0002,2020-12-12T00:27:07-04:00,2020-12-12T13:14:30-04:00,2020-12-13T16:20:30-04:00,2020-12-16T10:03:00-04:00,2020-12-16T21:56:07-04:00,2020-12-20T15:17:32-04:00
Bainbridge ,BAIN0003,2025-08-07T22:16:35-04:00,2025-08-11T23:28:43-04:00,2025-08-12T10:21:06-04:00,2025-08-13T18:50:39-04:00,2025-08-16T15:48:23-04:00,2025-08-21T06:10:10-04:00
Loch Raven ,LRAV0003,2021-11-28T12:00:02-04:00,2021-11-29T03:51:42-04:00,2021-12-01T16:43:57-04:00,2021-12-03T06:50:20-04:00,2021-12-03T13:10:10-04:00,2021-12-05T17:56:34-04:00
Pimlico,PIML0003,2020-06-27T04:31:59-04:00,2020-07-01T10:10:47-04:00,2020-07-02T07:18:38-04:00,2020-07-03T11:11:51-04:00,2020-07-06T23:24:58-04:00,2020-07-09T03:17:44-04:00
Quantum ,QNTM0003,2023-11-14T05:53:29-04:00,2023-11-16T16:37:12-04:00,2023-11-18T04:03:57-04:00,2023-11-19T23:25:17-04:00,2023-11-23T09:08:03-04:00,2023-11-25T10:41:36-04:00
SBY Market ,SBYM0003,2023-10-13T23:20:44-04:00,2023-10-18T20:59:52-04:00,2023-10-20T05:08:33-04:00,2023-10-22T21:27:27-04:00,2023-10-26T09:17:02-04:00,2023-10-28T14:40:32-04:00
Bainbridge ,BAIN0004,2024-06-29T16:31:05-04:00,2024-06-30T15:04:07-04:00,2024-06-30T04:30:58-04:00,2024-06-30T05:08:19-04:00,2024-07-02T08:29:15-04:00,2024-07-04T03:38:27-04:00
Loch Raven ,LRAV0004,2022-08-05T13:01:40-04:00,2022-08-08T05:13:19-04:00,2022-08-09T22:17:01-04:00,2022-08-11T00:18:09-04:00,2022-08-13T11:24:09-04:00,2022-08-18T21:22:15-04:00
Pimlico,PIML0004,2022-03-28T11:14:54-04:00,2022-03-31T01:23:06-04:00,2022-03-31T09:52:41-04:00,2022-04-04T17:05:45-04:00,2022-04-07T13:39:19-04:00,2022-04-11T16:02:19-04:00
Quantum ,QNTM0004,2024-03-09T02:08:05-04:00,2024-03-09T08:41:58-04:00,2024-03-12T11:33:08-04:00,2024-03-13T15:03:18-04:00,2024-03-16T03:37:43-04:00,2024-03-16T09:14:27-04:00
SBY Market ,SBYM0004,2023-02-16T16:43:45-04:00,2023-02-19T01:13:16-04:00,2023-02-22T06:24:51-04:00,2023-02-24T12:38:41-04:00,2023-02-26T13:16:22-04:00,2023-03-01T18:57:34-04:00
Bainbridge ,BAIN0005,2023-07-14T00:31:02-04:00,2023-07-18T06:07:25-04:00,2023-07-20T03:15:59-04:00,2023-07-22T16:51:42-04:00,2023-07-23T09:02:01-04:00,2023-07-27T10:48:45-04:00
Loch Raven ,LRAV0005,2025-07-23T08:05:19-04:00,2025-07-24T07:03:55-04:00,2025-07-28T06:47:46-04:00,2025-07-29T04:10:58-04:00,2025-07-29T02:44:25-04:00,2025-07-30T13:56:50-04:00
Pimlico,PIML0005,2025-08-31T03:28:14-04:00,2025-09-02T14:41:16-04:00,2025-09-03T06:13:41-04:00,2025-09-07T12:47:04-04:00,2025-09-08T02:52:00-04:00,2025-09-11T01:13:06-04:00
Quantum ,QNTM0005,2020-08-17T07:01:49-04:00,2020-08-17T23:08:15-04:00,2020-08-22T15:32:57-04:00,2020-08-24T11:33:38-04:00,2020-08-27T07:53:37-04:00,2020-08-28T19:48:05-04:00
SBY Market ,SBYM0005,2025-09-18T05:12:33-04:00,2025-09-21T16:02:19-04:00,2025-09-24T13:42:59-04:00,2025-09-25T01:08:51-04:00,2025-09-28T20:43:51-04:00,2025-10-03T17:31:50-04:00
Bainbridge ,BAIN0006,2023-06-06T18:46:28-04:00,2023-06-07T05:34:22-04:00,2023-06-10T20:32:44-04:00,2023-06-13T02:24:24-04:00,2023-06-13T07:30:43-04:00,2023-06-13T11:01:48-04:00
Loch Raven ,LRAV0006,2023-10-05T18:32:42-04:00,2023-10-10T06:03:08-04:00,2023-10-13T14:06:27-04:00,2023-10-13T20:21:17-04:00,2023-10-18T04:31:30-04:00,2023-10-22T20:54:31-04:00
Pimlico,PIML0006,2024-07-09T23:49:45-04:00,2024-07-10T09:54:59-04:00,2024-07-14T00:42:14-04:00,2024-07-14T05:56:25-04:00,2024-07-15T03:28:49-04:00,2024-07-16T06:47:18-04:00
Quantum ,QNTM0006,2020-03-07T18:18:37-04:00,2020-03-12T14:44:03-04:00,2020-03-15T22:43:56-04:00,2020-03-16T03:18:52-04:00,2020-03-16T09:00:43-04:00,2020-03-16T01:01:37-04:00
SBY Market ,SBYM0006,2024-01-10T08:11:23-04:00,2024-01-15T07:56:58-04:00,2024-01-17T01:36:12-04:00,2024-01-19T04:24:46-04:00,2024-01-19T22:46:36-04:00,2024-01-24T14:01:06-04:00
