Primary Column,Permitting Council ID (auto),Permit/Plan Review Category,Agency Internal ID,Permit/Plan Review Name or Description,Permit/Plan Review Agency,Review Type,Review Status,Submitted Date,Submitter Name,Communication Start Date,Initial Assessment Days,Initial Assessment Date,Review Period Days,Reviewer Name,Review Start Date,Approver Name,Permit Website Link,Issued Permit ID,Final Resolution Date,Expiration Date,Approval Date Variance,Permit Cancelled By,Assigned resource,Allocation %,Duration,% Complete,Predecessors,Sheet Name,Sheet ID,Approver name
MDE-Land and Materials-Approved,BAIN0001,Wastewater discharge permits,20CPH087WA,,MDE-Land and Materials,New,Approved,2025-06-14T08:00:00,,,,,,"Jennifer Nitsch/Matt Perry
mde.constructionswnoi@maryland.gov
410-537-3292",,,https://egov.maryland.gov/mde/npdes/PublicNotice/ActivePermits,20CPH087WA,2025-06-14T16:59:59,,0,,,,1,100%,,Bainbridge Permit Tracking Sheet,595984821211012,
MDE-Water and Science-Approved,BAIN0003,Wastewater discharge permits,CE1976S065(07),,MDE-Water and Science,New,Approved,2025-05-12T08:00:00,,,,,,,,,,.,2025-06-19T16:59:59,,29,,,,29,,,Bainbridge Permit Tracking Sheet,595984821211012,
MDE-Land and Materials-Approved,BAIN0004,Environmental site assessments,2022-GWD-2913,,MDE-Land and Materials,New,Approved,2022-01-26T08:00:00,Toni Sprenkle,,,2022-03-07,40,andrew.grenzer@maryland.gov,2022-01-26,Kaley Laleker,https://mdedataviewer.mde.state.md.us/OpenDataDocuments?ID=2929104,2022-GWD-2913,2022-09-14T16:59:59,2027-09-13,138,,,,166,,,Bainbridge Permit Tracking Sheet,595984821211012,
MDOT-SHA-Review In Progress,BAIN0007,Transportation access permits,Diamond Jim Road extension request,Diamond Jim Road extension request,MDOT-SHA,New,Review In Progress,2023-09-25T08:00:00,"Lenhart Traffic Consulting, Inc.",2023-09-13,,,,"Henry R. Dierker III
Access Permits Regional Engineer
District Two Traffic
410.810.3244 office
410-708-0013 mobile
Hdierker@mdot.maryland.gov
Maryland State Highway Administration-District Two
615 Morgnec Road, Chestertown, MD 21620",,,,.,2023-09-25T16:59:59,,1,,,,1,,,Bainbridge Permit Tracking Sheet,595984821211012,
MDOT-SHA-Review In Progress,BAIN0008,Transportation access permits,Traffic study,Traffic study,MDOT-SHA,New,Review In Progress,2023-02-21T08:00:00,"Lenhart Traffic Consulting, Inc.",2023-02-20,2,2023-02-22,60,"Henry R. Dierker III
Access Permits Regional Engineer
District Two Traffic
410.810.3244 office
410-708-0013 mobile
Hdierker@mdot.maryland.gov
Maryland State Highway Administration-District Two
615 Morgnec Road, Chestertown, MD 21620",2023-02-22,Richard Baker,,.,2023-02-21T16:59:59,,-44,,,,1,,,Bainbridge Permit Tracking Sheet,595984821211012,
MDOT-SHA-OOTS-Review In Progress,BAIN0009,Transportation access permits,Revision of traffic impact analysis (goal of August 2025),Revision of traffic impact analysis (goal of August 2025),MDOT-SHA-OOTS,New,Review In Progress,,,,,,,,,,,.,,,0,,,,,,,Bainbridge Permit Tracking Sheet,595984821211012,
MDOT-SHA-Review In Progress,BAIN0011,Transportation access permits,"MDOT access permit and additional offsite improvements (e.g., new traffic signals)","MDOT access permit and additional offsite improvements (e.g., new traffic signals)",MDOT-SHA,New,Review In Progress,,,,,,,,,,,.,,,0,,,,,,,Bainbridge Permit Tracking Sheet,595984821211012,
MDOT-SHA-District 2-Approved,BAIN0013,Transportation access permits,"Phase I permit (extension is for the construction of the entrance for Lot 1) was issued on April 21, 2022, and has been extended to April 21, 2026","Phase I permit (extension is for the construction of the entrance for Lot 1) was issued on April 21, 2022, and has been extended to April 21, 2026",MDOT-SHA-District 2,New,Approved,2022-04-20T08:00:00,Bohler Engineering,2025-06-02,8,2025-06-06,,"Henry R. Dierker III
Access Permits Regional Engineer
District Two Traffic
410.810.3244 office
410-708-0013 mobile
Hdierker@mdot.maryland.gov
Maryland State Highway Administration-District Two
615 Morgnec Road, Chestertown, MD 21620",,Richard Baker,,19-AP-CE-002-22,2022-04-20T16:59:59,2026-04-21,1,,,,1,,,Bainbridge Permit Tracking Sheet,595984821211012,
MDOT-SHA-District 2-Review In Progress,BAIN0014,Transportation access permits,Phase Lot ‘A’ currently under review with a fast-track pace with biweekly meetings,Phase Lot ‘A’ currently under review with a fast-track pace with biweekly meetings,MDOT-SHA-District 2,New,Review In Progress,2025-05-06T08:00:00,"Lenhart Traffic Consulting, Inc.",2025-02-10,1,2025-05-06,45,"Henry R. Dierker III
Access Permits Regional Engineer
District Two Traffic
410.810.3244 office
410-708-0013 mobile
Hdierker@mdot.maryland.gov
Maryland State Highway Administration-District Two
615 Morgnec Road, Chestertown, MD 21621",2025-05-06,,,.,2025-05-06T16:59:59,,-34,,,,1,,,Bainbridge Permit Tracking Sheet,595984821211012,
DNR-Submitted,BAIN0015,Wetlands/waterway permits,202061782,"Joint Federal/State Application for the Alteration of Any Floodplain, Waterway, Tidal or Nontidal Wetland in Maryland",DNR,New,Submitted,2020-12-08T08:00:00,NAI The Michael Companies - Bainbridge Industrial Development Phase I,,,,,Roland Limpert,,,,,2020-12-08T16:59:59,,1,,,,1,,,Bainbridge Permit Tracking Sheet,595984821211012,
