Project Name,Permit ID,Submitted Date,Communication Start Date,Initial Assessment Date,Review Start Date,Final Resolution Date,Expiration Date
Bainbridge ,BAIN0001,2021-06-25T21:39:47-04:00,2021-07-06T15:05:53-04:00,2021-07-16T02:59:30-04:00,2021-07-27T21:49:36-04:00,2021-08-07T19:42:39-04:00,2021-08-18T12:15:16-04:00
Loch Raven ,LRAV0001,2025-07-23T06:44:12-04:00,2025-08-02T00:42:22-04:00,2025-08-12T20:12:27-04:00,2025-08-23T18:06:46-04:00,2025-09-03T05:14:17-04:00,2025-09-14T19:01:14-04:00
Pimlico,PIML0001,2023-03-04T17:53:24-04:00,2023-03-15T02:42:46-04:00,2023-03-26T18:08:21-04:00,2023-04-06T13:38:10-04:00,2023-04-17T02:16:52-04:00,2023-04-27T03:28:32-04:00
Quantum ,QNTM0001,2025-05-28T02:39:01-04:00,2025-06-07T16:42:59-04:00,2025-06-18T14:55:59-04:00,2025-06-29T14:16:13-04:00,2025-07-10T16:00:25-04:00,2025-07-21T04:39:46-04:00
SBY Market ,SBYM0001,2020-05-28T09:11:49-04:00,2020-06-07T14:58:25-04:00,2020-06-18T03:53:57-04:00,2020-06-28T23:26:46-04:00,2020-07-09T20:15:07-04:00,2020-07-20T19:29:26-04:00
Bainbridge ,BAIN0002,2021-05-31T14:38:14-04:00,2021-06-11T02:42:45-04:00,2021-06-21T14:55:32-04:00,2021-07-02T15:45:46-04:00,2021-07-13T20:02:08-04:00,2021-07-24T00:03:11-04:00
Loch Raven ,LRAV0002,2024-07-14T04:03:33-04:00,2024-07-24T11:29:16-04:00,2024-08-03T18:02:36-04:00,2024-08-14T05:43:30-04:00,2024-08-24T01:59:07-04:00,2024-09-03T23:29:32-04:00
Pimlico,PIML0002,2022-08-07T12:04:06-04:00,2022-08-17T20:05:50-04:00,2022-08-28T06:23:24-04:00,2022-09-07T03:35:29-04:00,2022-09-17T13:46:52-04:00,2022-09-27T07:26:11-04:00
Quantum ,QNTM0002,2023-11-05T07:57:36-04:00,2023-11-15T18:25:43-04:00,2023-11-26T17:22:36-04:00,2023-12-06T17:15:39-04:00,2023-12-17T21:22:46-04:00,2023-12-28T03:09:14-04:00
SBY Market ,SBYM0002,2020-12-12T00:27:07-04:00,2020-12-22T22:25:24-04:00,2021-01-02T04:13:42-04:00,2021-01-12T15:29:04-04:00,2021-01-23T21:06:39-04:00,2021-02-03T00:22:38-04:00
Bainbridge ,BAIN0003,2025-08-07T22:16:35-04:00,2025-08-18T13:10:28-04:00,2025-08-29T09:46:01-04:00,2025-09-08T06:05:56-04:00,2025-09-18T22:59:11-04:00,2025-09-29T00:36:03-04:00
Loch Raven ,LRAV0003,2021-11-28T12:00:02-04:00,2021-12-09T07:10:47-04:00,2021-12-19T15:36:32-04:00,2021-12-30T08:50:04-04:00,2022-01-09T05:56:17-04:00,2022-01-19T22:02:29-04:00
Pimlico,PIML0003,2020-06-27T04:31:59-04:00,2020-07-07T13:39:17-04:00,2020-07-18T07:19:45-04:00,2020-07-29T11:49:21-04:00,2020-08-09T15:02:30-04:00,2020-08-20T05:27:48-04:00
Quantum ,QNTM0003,2023-11-14T05:53:29-04:00,2023-11-24T18:25:48-04:00,2023-12-05T20:53:31-04:00,2023-12-16T07:07:44-04:00,2023-12-26T01:20:47-04:00,2024-01-05T07:16:11-04:00
SBY Market ,SBYM0003,2023-10-13T23:20:44-04:00,2023-10-24T01:21:01-04:00,2023-11-03T06:22:12-04:00,2023-11-13T18:48:44-04:00,2023-11-24T19:48:31-04:00,2023-12-05T16:44:29-04:00
Bainbridge ,BAIN0004,2024-06-29T16:31:05-04:00,2024-07-10T09:12:04-04:00,2024-07-20T19:31:57-04:00,2024-07-31T18:23:11-04:00,2024-08-11T19:57:29-04:00,2024-08-22T09:57:54-04:00
Loch Raven ,LRAV0004,2022-08-05T13:01:40-04:00,2022-08-16T06:49:37-04:00,2022-08-26T11:00:15-04:00,2022-09-05T19:27:06-04:00,2022-09-16T14:50:31-04:00,2022-09-27T21:00:36-04:00
Pimlico,PIML0004,2022-03-28T11:14:54-04:00,2022-04-08T07:51:45-04:00,2022-04-19T16:37:47-04:00,2022-04-30T17:57:59-04:00,2022-05-11T04:32:44-04:00,2022-05-21T03:47:29-04:00
Quantum ,QNTM0004,2024-03-09T02:08:05-04:00,2024-03-19T02:22:04-04:00,2024-03-29T10:29:14-04:00,2024-04-08T19:36:11-04:00,2024-04-19T13:35:31-04:00,2024-04-30T14:19:15-04:00
SBY Market ,SBYM0004,2023-02-16T16:43:45-04:00,2023-02-27T16:31:41-04:00,2023-03-10T02:14:35-04:00,2023-03-20T12:25:16-04:00,2023-03-30T03:15:57-04:00,2023-04-09T01:58:51-04:00
Bainbridge ,BAIN0005,2023-07-14T00:31:02-04:00,2023-07-24T08:09:31-04:00,2023-08-03T23:01:41-04:00,2023-08-14T08:46:06-04:00,2023-08-24T08:06:38-04:00,2023-09-03T07:31:10-04:00
Loch Raven ,LRAV0005,2025-07-23T08:05:19-04:00,2025-08-02T07:21:47-04:00,2025-08-13T07:39:10-04:00,2025-08-24T11:38:33-04:00,2025-09-04T14:38:21-04:00,2025-09-15T09:46:33-04:00
Pimlico,PIML0005,2025-08-31T03:28:14-04:00,2025-09-10T19:22:38-04:00,2025-09-21T08:30:05-04:00,2025-10-01T18:23:27-04:00,2025-10-12T10:36:03-04:00,2025-10-22T11:31:05-04:00
Quantum ,QNTM0005,2020-08-17T07:01:49-04:00,2020-08-27T11:05:39-04:00,2020-09-07T19:51:45-04:00,2020-09-18T06:50:06-04:00,2020-09-28T08:12:52-04:00,2020-10-09T15:25:56-04:00
SBY Market ,SBYM0005,2025-09-18T05:12:33-04:00,2025-09-28T07:14:46-04:00,2025-10-08T03:30:56-04:00,2025-10-18T02:17:39-04:00,2025-10-28T07:20:57-04:00,2025-11-07T08:09:20-04:00
Bainbridge ,BAIN0006,2023-06-06T18:46:28-04:00,2023-06-17T12:49:21-04:00,2023-06-27T06:12:53-04:00,2023-07-07T10:11:23-04:00,2023-07-17T08:27:46-04:00,2023-07-27T03:15:38-04:00
Loch Raven ,LRAV0006,2023-10-05T18:32:42-04:00,2023-10-15T00:48:23-04:00,2023-10-25T08:57:23-04:00,2023-11-04T15:57:03-04:00,2023-11-15T16:11:39-04:00,2023-11-26T22:56:50-04:00
Pimlico,PIML0006,2024-07-09T23:49:45-04:00,2024-07-20T08:32:27-04:00,2024-07-30T23:56:08-04:00,2024-08-10T10:51:58-04:00,2024-08-20T03:38:02-04:00,2024-08-31T10:58:02-04:00
Quantum ,QNTM0006,2020-03-07T18:18:37-04:00,2020-03-18T07:30:41-04:00,2020-03-28T20:58:53-04:00,2020-04-07T16:37:12-04:00,2020-04-18T00:10:35-04:00,2020-04-28T01:19:10-04:00
SBY Market ,SBYM0006,2024-01-10T08:11:23-04:00,2024-01-21T14:13:16-04:00,2024-02-01T19:12:20-04:00,2024-02-12T21:39:08-04:00,2024-02-23T03:59:16-04:00,2024-03-05T23:05:10-04:00
